gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
EGFR,AP,1,0.03435702614379088,0.9509151426406892,0.9272320261437909,0.892875,153,4,0.9742402206796522
CDK4,ME,5.1:5.2|6,0.03425999999999996,0.00014689926735573277,0.9972,0.96294,155,5,0.002476402369487425
AKT3,AT,15,0.03371806451612902,0.022682394516099404,0.9878780645161291,0.9541600000000001,155,5,0.06943590157989614
SRSF1,RI,3.2:3.3:3.4,0.03128500000000001,0.3479293646418219,0.8399249999999999,0.8086399999999999,120,5,0.48775144575956336
SRSF1,RI,3.2,0.030194838709677402,0.7167148549054172,0.17469483870967742,0.14450000000000002,155,5,0.8238546246851759
HNRNPH1,ES,13,-0.027017419354838812,0.0036978877365565982,0.9283825806451612,0.9554,155,5,0.01680858062071181
POLD1,ES,22,0.025620129870129738,0.31976908655348235,0.9772201298701297,0.9516,154,5,0.46332347428107895
HNRNPH1,AD,11.2,-0.024310322580645027,0.0026060676328686877,0.957569677419355,0.98188,155,5,0.012215942029071973
SRSF7,RI,4.2:4.3,-0.023275064935065037,0.17938736834909208,0.965264935064935,0.9885400000000001,154,5,0.30577392332231607
AKT2,AT,15,0.02135935483870932,0.006404035798040822,0.9762793548387094,0.9549200000000001,155,5,0.02380426397398378
SRSF5,AT,10,0.019947741935483765,0.27204294435082055,0.8982077419354838,0.87826,155,5,0.41218627931942503
CASP8,ES,9:10:11,-0.018846103896104083,0.2344529123779252,0.9811538961038959,1.0,154,4,0.3741269878371147
SRSF2,AD,1.2,0.018794838709677464,0.04039840793274727,0.9526748387096775,0.93388,155,5,0.09322709522941677
TP53,ES,10.1:10.2,-0.01854129032258064,0.04914756136533947,0.010158709677419355,0.028699999999999996,155,5,0.10531620292572744
SRSF7,AD,5.2,-0.01776451612903207,0.0020401113641651454,0.9516154838709678,0.9693799999999999,155,5,0.010200556820825726
