gene	drug	regulatory approval	indication	interaction score
TP53	CHEMBL:CHEMBL530049	Not Approved	""	0.01283279217278405
TP53	ALEMTUZUMAB	Approved	antineoplastic agent	0.03849837651835216
TP53	SELINEXOR	Approved	""	0.04619805182202258
TP53	CHEMBL:CHEMBL600347	Not Approved	""	0.1154951295550564
TP53	CADMIUM DICHLORIDE	Not Approved	""	0.01049955723227786
TP53	PATULIN	Not Approved	""	0.0256655843455681
TP53	DINOSEB	Not Approved	""	0.02887378238876412
TP53	AURORA KINASE INHIBITOR AMG 900	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL578512	Not Approved	""	0.003982590674312292
TP53	MULTI-NEO-EPITOPE VACCINE OSE 2101	Not Approved	""	0.02887378238876412
TP53	CHEMBL:CHEMBL599088	Not Approved	""	0.05774756477752824
TP53	2,6-DIMETHOXYQUINONE	Not Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL265686	Not Approved	""	0.02887378238876412
TP53	SAPANISERTIB	Approved	antineoplastic agent	0.01506458211587693
TP53	PROPYLTHIOURACIL	Approved	Antithyroid Agents	0.01154951295550564
TP53	CIS-RESVERATROL	Not Approved	""	0.01649930422215092
TP53	CHLORAMBUCIL	Approved	""	0.01154951295550564
TP53	CHEMBL:CHEMBL198759	Not Approved	""	0.04619805182202258
TP53	RG7112	Not Approved	""	0.2309902591101129
TP53	ADAVOSERTIB	Not Approved	antineoplastic agent	0.05362273872199051
TP53	TRIFLURIDINE	Approved	""	0.07699675303670432
TP53	PRODIGIOSIN	Not Approved	""	0.1154951295550564
TP53	MITOMYCIN	Approved	""	0.00962459412958804
TP53	CHLORFENAPYR	Not Approved	""	0.02887378238876412
TP53	(S)-FLUOXETINE	Not Approved	""	0.01283279217278405
TP53	CHIR-124	Not Approved	""	0.2309902591101129
TP53	RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1	Not Approved	""	0.02887378238876412
TP53	OBINUTUZUMAB	Approved	antineoplastic agent	0.07699675303670432
TP53	CHEMBL:CHEMBL1801219	Not Approved	""	0.2309902591101129
TP53	LOPERAMIDE	Approved	Antidiarrheals	0.00962459412958804
TP53	METHOTREXATE	Approved	DMARD	0.002099911446455572
TP53	MERCAPTOPURINE	Approved	Antineoplastic Agents	0.00256655843455681
TP53	POTASSIUM DICHROMATE	Not Approved	""	0.02309902591101129
TP53	ELLIPTECINE	Not Approved	""	0.003609222798595515
TP53	BUPARLISIB	Not Approved	""	0.009239610364404518
TP53	TRANSFERRIN RECEPTOR-TARGETED LIPOSOMAL P53 CDNA	Not Approved	""	0.1154951295550564
TP53	BENOMYL	Not Approved	""	0.1154951295550564
TP53	ZIRAM	Not Approved	""	0.008884240735004345
TP53	ZINC CHLORIDE	Approved	""	0.04619805182202258
TP53	CHEMBL:CHEMBL374632	Not Approved	""	0.01049955723227786
TP53	AZATHIOPRINE	Approved	""	0.003039345514606749
TP53	CAULIBUGULONE B	Not Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL591126	Not Approved	""	0.01049955723227786
TP53	TRIAMTERENE	Approved	Antihypertensive Agents; Diuretics	0.006416396086392026
TP53	N6-BENZYLADENOSINE	Not Approved	""	0.1154951295550564
TP53	TEPRASIRAN	Not Approved	""	0.1154951295550564
TP53	NICLOSAMIDE	Approved	""	0.004277597390928017
TP53	LUXEPTINIB	Not Approved	""	0.02887378238876412
TP53	CHEMBL:CHEMBL405914	Not Approved	""	0.02309902591101129
TP53	CHEMBL:CHEMBL259615	Not Approved	""	0.01283279217278405
TP53	CLOFOCTOL	Not Approved	""	0.01924918825917608
TP53	FUROXAN	Not Approved	""	0.02309902591101129
TP53	SALMETEROL XINAFOATE	Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL600334	Not Approved	""	0.03849837651835216
TP53	1,10-PHENANTHROLINE	Not Approved	""	0.005499768074050308
TP53	ENALAPRIL MALEATE	Approved	antihypertensive agent	0.01215738205842699
TP53	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.003982590674312292
TP53	P53 Y220C MUTANT REACTIVATOR PC14586	Not Approved	""	0.1154951295550564
TP53	(R,S)-INDATRALINE	Not Approved	""	0.01049955723227786
TP53	PIPERLONGUMINE	Not Approved	""	0.01283279217278405
TP53	ALPELISIB	Approved	""	0.006416396086392026
TP53	COTI-2	Not Approved	""	0.1154951295550564
TP53	CHEMBL:CHEMBL2002487	Not Approved	""	0.01049955723227786
TP53	IFOSFAMIDE	Approved	Antineoplastic Agents	0.01649930422215092
TP53	GANETESPIB	Not Approved	antineoplastic agent	0.02887378238876412
TP53	TEMOZOLOMIDE	Approved	""	0.01649930422215092
TP53	MITOXANTRONE	Approved	antineoplastic agent	0.002624889308069465
TP53	CHEMBL:CHEMBL601757	Not Approved	""	0.00481229706479402
TP53	M8891	Not Approved	""	0.05774756477752824
TP53	RHODOMYRTOXIN B	Not Approved	""	0.05774756477752824
TP53	VANOXERINE	Not Approved	""	0.005774756477752823
TP53	PYRACLOSTROBIN	Not Approved	""	0.02309902591101129
TP53	DIETHYLSTILBESTROL	Approved	Hormone Replacement Agents	0.006999704821518574
TP53	TRANILAST	Not Approved	""	0.01049955723227786
TP53	CHEMBL:CHEMBL444376	Not Approved	""	0.01924918825917608
TP53	OLVANIL	Not Approved	""	0.01924918825917608
TP53	CHEMBL:CHEMBL260560	Not Approved	""	0.01443689119438206
TP53	TERPYRIDINE	Not Approved	""	0.01443689119438206
TP53	CHEMBL:CHEMBL582715	Not Approved	""	0.05774756477752824
TP53	A77636	Not Approved	""	0.01924918825917608
TP53	DNA VACCINE	Not Approved	""	0.04619805182202258
TP53	PF-00477736	Not Approved	""	0.05774756477752824
TP53	SAR-405838	Not Approved	""	0.1154951295550564
TP53	CHEMBL:CHEMBL260028	Not Approved	""	0.02309902591101129
TP53	CHLORANIL	Not Approved	""	0.007699675303670432
TP53	PHENYLMERCURIC ACETATE	Not Approved	""	0.005774756477752823
TP53	CHEMBL:CHEMBL405317	Not Approved	""	0.02887378238876412
TP53	CHEMBL:CHEMBL260451	Not Approved	""	0.02309902591101129
TP53	MITOXANTRONE HYDROCHLORIDE	Approved	""	0.003609222798595515
TP53	NSC-663284	Not Approved	""	0.01649930422215092
TP53	BOMEDEMSTAT	Not Approved	""	0.05774756477752824
TP53	MANGOSTIN	Not Approved	""	0.01154951295550564
TP53	BEVACIZUMAB	Approved	antineoplastic agent	0.008662134716629235
TP53	PIRTOBRUTINIB	Approved	""	0.05774756477752824
TP53	NIVOLUMAB	Approved	antineoplastic agent	0.008884240735004345
TP53	CHEMBL:CHEMBL1397308	Not Approved	""	0.02309902591101129
TP53	CHEMBL:CHEMBL599100	Not Approved	""	0.02309902591101129
TP53	FLUPHENAZINE HYDROCHLORIDE	Approved	Antipsychotic Agents	0.005249778616138931
TP53	CHLORPROMAZINE	Approved	""	0.003121489987974499
TP53	CETUXIMAB	Approved	antineoplastic agent	0.003121489987974499
TP53	GARLIC	Not Approved	""	0.02309902591101129
TP53	ALPHA-NAPHTHOFLAVONE	Not Approved	""	0.01649930422215092
TP53	AHPN	Not Approved	""	0.01649930422215092
TP53	SAPONIN	Not Approved	""	0.04619805182202258
TP53	FAS LIGAND	Not Approved	""	0.01924918825917608
TP53	GEDATOLISIB	Not Approved	""	0.01283279217278405
TP53	AZD7648	Not Approved	""	0.04619805182202258
TP53	NAPABUCASIN	Not Approved	""	0.2309902591101129
TP53	NITAZOXANIDE	Approved	""	0.00962459412958804
TP53	CHEMBL:CHEMBL259805	Not Approved	""	0.02887378238876412
TP53	LY3009120	Not Approved	""	0.02309902591101129
TP53	INTERFERON ALFA-2B	Approved	for treatment of hepatitis C,Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis	0.01649930422215092
TP53	CLADRIBINE	Approved	""	0.007699675303670432
TP53	TRACAZOLATE	Not Approved	""	0.01443689119438206
TP53	CLOMIPRAMINE	Approved	Tricyclic,Antidepressive Agents	0.003039345514606749
TP53	ROBUSTIC ACID	Not Approved	""	0.03849837651835216
TP53	URSODIOL	Approved	for prevention of recurrence of colorectal polyps	0.01443689119438206
TP53	GLUTARAL	Approved	""	0.05774756477752824
TP53	CADMIUM ACETATE	Not Approved	""	0.01443689119438206
TP53	ROTENONE	Not Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL429095	Not Approved	""	0.002309902591101129
TP53	CHEMBL:CHEMBL320361	Not Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL259421	Not Approved	""	0.01924918825917608
TP53	P53/HDM2 INTERACTION INHIBITOR CGM097	Not Approved	""	0.1539935060734086
TP53	DEOXIEPINEPHRINE	Not Approved	""	0.01924918825917608
TP53	BROXYQUINOLINE	Not Approved	""	0.02309902591101129
TP53	CGP7930	Not Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL533226	Not Approved	""	0.008884240735004345
TP53	ABEMACICLIB	Approved	""	0.006078691029213499
TP53	ONC201	Not Approved	""	0.05774756477752824
TP53	AZD1390	Not Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL563919	Not Approved	""	0.02309902591101129
TP53	CHEMBL:CHEMBL1303948	Not Approved	""	0.01649930422215092
TP53	L-733,060	Not Approved	""	0.01443689119438206
TP53	SANGUINARINE SULFATE	Not Approved	""	0.008884240735004345
TP53	DS-7423	Not Approved	""	0.01539935060734086
TP53	TRABECTEDIN	Approved	""	0.04619805182202258
TP53	DUVELISIB	Approved	""	0.01649930422215092
TP53	MECHLORETHAMINE HYDROCHLORIDE	Approved	""	0.01924918825917608
TP53	ZM336372	Not Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL580421	Not Approved	""	0.01049955723227786
TP53	FLUOROURACIL	Approved	""	0.007965181348624584
TP53	IXAZOMIB	Approved	""	0.005499768074050308
TP53	CAMPTOTHECIN	Approved	antineoplastic agent	0.00659972168886037
TP53	GDC-0425	Not Approved	""	0.1154951295550564
TP53	ACALABRUTINIB	Approved	""	0.01358766230059488
TP53	CHLOROXINE	Approved	""	0.01154951295550564
TP53	PROPACHLOR	Not Approved	""	0.01649930422215092
TP53	CHEMBL:CHEMBL579550	Not Approved	""	0.03849837651835216
TP53	EMBELIN	Not Approved	""	0.007699675303670432
TP53	CHEMBL:CHEMBL421215	Not Approved	""	0.01283279217278405
TP53	CHEMBL:CHEMBL261123	Not Approved	""	0.01924918825917608
TP53	2-AMINOANTHRACENE	Not Approved	""	0.02887378238876412
TP53	DOXORUBICIN LIPOSOME	Approved	""	0.03849837651835216
TP53	RIBAVIRIN	Approved	""	0.003039345514606749
TP53	CHEMBL:CHEMBL408850	Not Approved	""	0.01049955723227786
TP53	PD166285	Not Approved	""	0.03299860844430185
TP53	GSK2830371	Not Approved	""	0.1154951295550564
TP53	DIBENZ[A,H]ANTHRACENE	Not Approved	""	0.02309902591101129
TP53	CHELERYTHRINE	Not Approved	""	0.00962459412958804
TP53	FURAZOLIDONE	Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL599943	Not Approved	""	0.02309902591101129
TP53	RS-17053	Not Approved	""	0.01283279217278405
TP53	CLOFIBRATE	Approved	Anticholesteremic Agents	0.01443689119438206
TP53	SR59230A	Not Approved	""	0.01924918825917608
TP53	CHEMBL:CHEMBL428789	Not Approved	""	0.007699675303670432
TP53	TEBUFENPYRAD	Not Approved	""	0.05774756477752824
TP53	SB 206553	Not Approved	""	0.008249652111075463
TP53	CHEMBL:CHEMBL1214407	Not Approved	""	0.02887378238876412
TP53	TOPOTECAN HYDROCHLORIDE	Approved	antineoplastic agent	0.00962459412958804
TP53	QUINALIZARIN	Not Approved	""	0.007699675303670432
TP53	BRIGIMADLIN	Not Approved	""	0.2309902591101129
TP53	ENCORAFENIB	Approved	""	0.01283279217278405
TP53	HYDRALAZINE	Approved	antihypertensive agent	0.005774756477752823
TP53	ALEXIDINE DIHYDROCHLORIDE	Not Approved	""	0.02887378238876412
TP53	CARBENDAZIM	Not Approved	""	0.03849837651835216
TP53	PLUMBAGIN	Not Approved	""	0.008884240735004345
TP53	THUNBERGINOL B	Not Approved	""	0.01154951295550564
TP53	CHEMBL:CHEMBL227959	Not Approved	""	0.02887378238876412
TP53	DAIDZEIN	Not Approved	""	0.006078691029213499
TP53	PROPARGITE	Not Approved	""	0.02887378238876412
TP53	LENALIDOMIDE	Approved	antineoplastic agent	0.008884240735004345
TP53	L-744,832	Not Approved	""	0.1154951295550564
TP53	BENZETHONIUM CHLORIDE	Approved	""	0.00721844559719103
TP53	CHEMBL:CHEMBL1494650	Not Approved	""	0.05774756477752824
TP53	BLZ945	Not Approved	""	0.1154951295550564
TP53	PIRARUBICIN	Not Approved	""	0.0256655843455681
TP53	S(+)-APOMORPHINE	Not Approved	""	0.01443689119438206
TP53	CHEMBL:CHEMBL473735	Not Approved	""	0.01924918825917608
TP53	U50488	Not Approved	""	0.02309902591101129
TP53	FENRETINIDE	Approved	antineoplastic agent	0.004277597390928017
TP53	MPA	Not Approved	""	0.02309902591101129
TP53	CHEMBL:CHEMBL411085	Not Approved	""	0.03849837651835216
TP53	ALVESPIMYCIN	Not Approved	antineoplastic agent	0.07699675303670432
TP53	PD-98059	Not Approved	""	0.003121489987974499
TP53	PANITUMUMAB	Approved	antineoplastic agent	0.01154951295550564
TP53	GEMCITABINE	Approved	antineoplastic agent	0.007532291057938466
TP53	AXITINIB	Approved	antineoplastic agent	0.01099953614810061
TP53	TIRAPAZAMINE	Not Approved	""	0.05774756477752824
TP53	PRAMLINTIDE	Approved	antiobesity agent,antidiabetic	0.01649930422215092
TP53	TRIFLUOPERAZINE	Approved	Antiemetics; Antipsychotic Agents	0.01154951295550564
TP53	CHEMBL:CHEMBL546170	Not Approved	""	0.01649930422215092
TP53	MUNDULONE	Not Approved	""	0.02887378238876412
TP53	ANISINDIONE	Approved	Anticoagulants	0.01924918825917608
TP53	CHEMBL:CHEMBL242171	Not Approved	""	0.01154951295550564
TP53	CAPECITABINE	Approved	""	0.00679383115029744
TP53	N-OLEOYLDOPAMINE	Not Approved	""	0.006416396086392026
TP53	CHEMBL:CHEMBL590665	Not Approved	""	0.03849837651835216
TP53	2-CHLOROADENOSINE	Not Approved	""	0.01049955723227786
TP53	CHEMBL:CHEMBL225513	Not Approved	""	0.01443689119438206
TP53	RESVERATROL	Approved	antineoplastic agent,antidiabetic,for treatment of herpes simplex virus 1	0.002357043460307275
TP53	CEP-1347	Not Approved	""	0.04619805182202258
TP53	TPCK	Not Approved	""	0.006416396086392026
TP53	WARFARIN	Approved	Anticoagulants	0.003499852410759287
TP53	SORAFENIB	Approved	antineoplastic agent	0.002008610948783591
TP53	3,4-DICHLOROBENZAMIL	Not Approved	""	0.02887378238876412
TP53	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.01092521495791074
TP53	LB-100	Not Approved	""	0.04619805182202258
TP53	SIREMADLIN	Not Approved	""	0.2309902591101129
TP53	ETOPOSIDE	Approved	Antineoplastic Agents	0.005973886011468438
TP53	CERALASERTIB	Not Approved	""	0.07699675303670432
TP53	CERITINIB	Approved	""	0.02038149345089231
TP53	(Z)-PIPLARTINE	Not Approved	""	0.05774756477752824
TP53	GR 127935	Not Approved	""	0.003982590674312292
TP53	ACEQUINOCYL	Not Approved	""	0.1154951295550564
TP53	PROCHLORPERAZINE	Approved	antiemetic,antimigraine agent	0.004124826055537731
TP53	SERDEMETAN	Not Approved	""	0.1154951295550564
TP53	ALT-801	Not Approved	""	0.1154951295550564
TP53	CHEMBL:CHEMBL1343568	Not Approved	""	0.01649930422215092
TP53	MAPROTILINE	Approved	Second-Generation,Antidepressive Agents	0.008884240735004345
TP53	AUTOLOGOUS DENDRITIC CELLS TRANSDUCED WITH WILD-TYPE P53 ADENOVIRUS VACCINE	Not Approved	""	0.1154951295550564
TP53	CHLOROTHALONIL	Not Approved	""	0.00962459412958804
TP53	MIRDAMETINIB	Not Approved	""	0.01539935060734086
TP53	SELECTIVE ESTROGEN RECEPTOR MODULATOR	Not Approved	""	0.0256655843455681
TP53	QUINACRINE DIHYDROCHLORIDE	Not Approved	""	0.00962459412958804
TP53	CHEMBL:CHEMBL602922	Not Approved	""	0.1154951295550564
TP53	AZD7762	Not Approved	""	0.04619805182202258
TP53	ANTIMYCIN A	Not Approved	""	0.03849837651835216
TP53	HALOPERIDOL DECANOATE	Approved	Antipsychotic Agents	0.003039345514606749
TP53	CARBOPLATIN	Approved	""	0.009400766359132503
TP53	BITHIONOL	Approved	""	0.00481229706479402
TP53	PHENETHYLISOTHIOCYANATE	Not Approved	""	0.02887378238876412
TP53	CHEMBL:CHEMBL233194	Not Approved	""	0.01924918825917608
TP53	DAUNORUBICIN HYDROCHLORIDE	Approved	""	0.003499852410759287
TP53	CHEMBL:CHEMBL545900	Not Approved	""	0.1154951295550564
TP53	GRANISETRON	Approved	antiemetic	0.01049955723227786
TP53	APG115	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL329673	Not Approved	""	0.01049955723227786
TP53	CHEMBL:CHEMBL408653	Not Approved	""	0.01924918825917608
TP53	4-METHOXYDALBERGIONE	Not Approved	""	0.01283279217278405
TP53	DIHYDROGAMBOGIC ACID	Not Approved	""	0.01049955723227786
TP53	METHYLPREDNISOLONE	Approved	Anti-Inflammatory Agents; Glucocorticoids	0.01924918825917608
SRSF2	CLK INHIBITOR CTX-712	Not Approved	""	26.10189927944276
SRSF2	H3B-8800	Not Approved	""	6.525474819860691
BCL2	OXALIPLATIN	Approved	""	0.05026039655861894
BCL2	POLATUZUMAB VEDOTIN	Approved	""	0.03350693103907929
BCL2	METHYLPREDNISOLONE	Approved	Anti-Inflammatory Agents; Glucocorticoids	0.106105281623751
BCL2	TESETAXEL	Not Approved	antineoplastic agent	0.3183158448712532
BCL2	MILATAXEL	Not Approved	antineoplastic agent	0.0374489229260298
BCL2	NAVITOCLAX	Not Approved	""	0.1989474030445333
BCL2	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.02315024326336387
BCL2	OBATOCLAX	Not Approved	antineoplastic agent	0.2387368836534399
BCL2	EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR	Not Approved	""	0.1414737088316681
BCL2	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1	Not Approved	""	0.06063158949928633
BCL2	RECOMBINANT INTERFERON	Not Approved	""	0.06529555792230836
BCL2	DOLASTATIN 10	Not Approved	""	1.273263379485013
BCL2	OBLIMERSEN	Not Approved	antineoplastic agent	1.909895069227519
BCL2	FLOXURIDINE	Approved	antineoplastic agent	0.09094738424892951
BCL2	VENETOCLAX	Approved	""	0.1157512163168193
BCL2	ANTI-CD19 CAR T CELLS AT101	Not Approved	antineoplastic agent	0.4244211264950043
BCL2	HYPERBARIC OXYGEN	Not Approved	""	0.3819790138455038
BCL2	EPIRUBICIN	Approved	Antineoplastic Agents	0.03536842720791702
BCL2	PREGNANT MARE SERUM GONADOTROPIN	Not Approved	""	0.1157512163168193
BCL2	ETOPOSIDE	Approved	Antineoplastic Agents	0.03292922533150895
BCL2	BORTEZOMIB	Approved	antineoplastic agent	0.007489784585205959
BCL2	CARBOPLATIN	Approved	""	0.007402694066773332
BCL2	DITIOCARB	Not Approved	""	0.3183158448712532
BCL2	ANG1005	Not Approved	antineoplastic agent	0.0374489229260298
BCL2	ERYTHROMYCIN	Approved	""	0.05535927736891361
BCL2	AI-850	Not Approved	""	0.3183158448712532
BCL2	ORTATAXEL	Not Approved	antineoplastic agent	0.2122105632475021
BCL2	AMINOLEVULINIC ACID	Not Approved	""	1.273263379485013
BCL2	HEME	Not Approved	""	0.3183158448712532
BCL2	PROTUBOXEPIN A	Not Approved	""	0.6366316897425065
BCL2	RIBAVIRIN	Approved	""	0.08376732759769821
BCL2	ALPHA-TOCOPHEROL	Not Approved	""	0.1157512163168193
BCL2	PENTOXIFYLLINE	Approved	for treatment of amyotrophic lateral sclerosis (ALS)	0.0363789536995718
BCL2	HYDROQUINONE	Approved	""	0.0748978458520596
BCL2	C5A	Not Approved	""	0.181894768497859
BCL2	CILENGITIDE	Not Approved	antineoplastic agent	0.2546526758970026
BCL2	ORAL CONTRACEPTIVE	Not Approved	""	0.1157512163168193
BCL2	TENIPOSIDE	Approved	Antineoplastic Agents	0.1414737088316681
BCL2	DIETHYLSTILBESTROL	Approved	Hormone Replacement Agents	0.03858373877227312
BCL2	SAPONIN	Not Approved	""	0.2546526758970026
BCL2	SR9011	Not Approved	""	0.1273263379485013
BCL2	MASOPROCOL	Approved	prostate cancer,antineoplastic agent	0.02709071020180879
BCL2	CISPLATIN	Approved	""	0.01732331128551038
BCL2	BEAUVERICIN	Not Approved	""	1.273263379485013
BCL2	TRETINOIN	Approved	for treatment of acne	0.01399190526906607
BCL2	MUC-1 ANTIGEN	Not Approved	""	1.273263379485013
BCL2	HYPOXANTHINE	Not Approved	""	0.4244211264950043
BCL2	NONSTEROIDAL ANTIINFLAMMATORY DRUG	Not Approved	""	0.0748978458520596
BCL2	MICELLAR PACLITAXEL	Not Approved	""	1.273263379485013
BCL2	PROTEASE INHIBITOR	Not Approved	""	0.06366316897425064
BCL2	GAMMA-INTERFERON	Not Approved	""	0.1414737088316681
BCL2	SELENIUM	Approved	""	0.1123467687780893
BCL2	MITOXANTRONE	Approved	antineoplastic agent	0.02893780407920484
BCL2	APRINOCARSEN	Not Approved	""	0.9549475346137598
BCL2	APG-2575	Not Approved	""	0.3183158448712532
BCL2	ESTRAMUSTINE	Approved	""	0.1157512163168193
BCL2	DOCETAXEL ANHYDROUS	Approved	antineoplastic agent	0.007670261322198874
BCL2	MULTIDRUG RESISTANCE MODULATOR	Not Approved	""	0.6366316897425065
BCL2	PELCITOCLAX	Not Approved	""	0.3183158448712532
BCL2	ISOTRETINOIN	Approved	for treatment of acne	0.1193684418267199
BCL2	LYSOZYME	Not Approved	""	0.4244211264950043
BCL2	EDARAVONE	Approved	""	0.1273263379485013
BCL2	SR8278	Not Approved	""	0.6366316897425065
BCL2	FOSBRETABULIN DISODIUM	Not Approved	""	0.0748978458520596
BCL2	GSK4112	Not Approved	""	0.2122105632475021
BCL2	VALPROIC ACID	Approved	Anticonvulsants,for treatment of basal cell carcinoma,anticonvulsant	0.02233795402605286
BCL2	TRAIL	Not Approved	""	0.1273263379485013
BCL2	VINCRISTINE	Approved	antineoplastic agent	0.00785965049064823
BCL2	CAELYX	Not Approved	""	0.3183158448712532
BCL2	FAS LIGAND	Not Approved	""	0.106105281623751
BCL2	OBATOCLAX MESYLATE	Not Approved	""	0.106105281623751
BCL2	RECOMBINANT INTERLEUKIN	Not Approved	""	0.181894768497859
BCL2	GOSSYPOL	Not Approved	""	0.01326316020296888
BCL2	RALTITREXED	Not Approved	""	0.6366316897425065
BCL2	STREPTOZOCIN	Approved	""	0.0276796386844568
BCL2	SR9009	Not Approved	""	0.2122105632475021
BCL2	4-PHENYLBUTYRIC ACID	Approved	""	0.06366316897425064
BCL2	TAZAROTENE	Approved	for treatment of acne,antipsoriatic agent	0.1157512163168193
BCL2	BCL-2 INHIBITOR BCL201	Not Approved	""	0.3183158448712532
BCL2	ENDOTHELIN RECEPTOR ANTAGONIST	Not Approved	""	0.4244211264950043
BCL2	URSODIOL	Approved	for prevention of recurrence of colorectal polyps	0.07957896121781331
BCL2	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.008603130942466305
RHOA	QUINIDINE	Approved	Anti-Arrhythmia Agents	0.3728842754206109
RHOA	PRAVASTATIN SODIUM	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.5524211487712755
RHOA	NS004	Not Approved	""	2.485895169470739
RHOA	ROTTLERIN	Not Approved	""	1.147336232063418
RHOA	CLAUSINE E	Not Approved	""	14.91537101682443
RHOA	SIMVASTATIN	Approved	antidyslipidaemic agent,anticholesterolaemic agent,antihypertensive agent	0.2983074203364887
RHOA	NS1619	Not Approved	""	1.491537101682443
FGFR2	INFIGRATINIB	Approved	""	0.6889390188699239
FGFR2	ORANTINIB	Not Approved	""	0.09231440947636699
FGFR2	ERDAFITINIB	Approved	""	0.92314409476367
FGFR2	FGFR1/2/3 INHIBITOR TYRA-200	Not Approved	""	0.6000436615963854
FGFR2	FUTIBATINIB	Approved	""	0.8727907805038334
FGFR2	FEXAGRATINIB	Not Approved	""	1.800130984789156
FGFR2	DERAZANTINIB	Not Approved	antineoplastic agent	0.450032746197289
FGFR2	FULVESTRANT	Approved	antineoplastic agent	0.07200523939156624
FGFR2	HMPL-453	Not Approved	""	0.4000291077309236
FGFR2	PAZOPANIB	Approved	antineoplastic agent	0.08421665425914182
FGFR2	FGFR2 INHIBITOR 3HP-2827	Not Approved	""	0.6000436615963854
FGFR2	AZD-4547	Not Approved	""	0.1500109153990963
FGFR2	BUPARLISIB	Not Approved	""	0.04800349292771083
FGFR2	PONATINIB	Approved	antineoplastic agent	0.3000218307981927
FGFR2	RG-1530	Not Approved	""	0.006383443208472186
FGFR2	TG100-801	Not Approved	""	0.03750272884977409
FGFR2	ENMD-981693	Not Approved	""	0.03158124534717817
FGFR2	FP-1039	Not Approved	antineoplastic agent	0.3000218307981927
FGFR2	LENVATINIB	Approved	antineoplastic agent	0.1579062267358909
FGFR2	GEMCITABINE	Approved	antineoplastic agent	0.01304442742600837
FGFR2	BRIVANIB	Not Approved	""	0.2571615692555938
FGFR2	SUNITINIB	Approved	antineoplastic agent	0.05000363846636545
FGFR2	ROGARATINIB	Not Approved	""	0.5143231385111876
FGFR2	APRUTUMAB	Not Approved	""	0.6000436615963854
FGFR2	ENMD-2076	Not Approved	antineoplastic agent	0.03871249429654099
FGFR2	LUCITANIB	Not Approved	""	0.04000291077309236
FGFR2	AEE-788	Not Approved	""	0.1000072769327309
FGFR2	THALIDOMIDE	Approved	antineoplastic agent	0.03243479251872353
FGFR2	MEK INHIBITOR RO4987655	Not Approved	""	0.2400174646385541
FGFR2	PD173074	Not Approved	""	0.6000436615963854
FGFR2	CETRELIMAB	Not Approved	""	0.2000145538654618
FGFR2	RABEPRAZOLE	Approved	Proton pump inhibitor	0.04615720473818349
FGFR2	LY-2874455	Not Approved	""	0.1500109153990963
FGFR2	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	0.05106754566777748
FGFR2	GUNAGRATINIB	Not Approved	""	0.2000145538654618
FGFR2	MUPARFOSTAT	Not Approved	antineoplastic agent	0.06000436615963853
FGFR2	VEMURAFENIB	Approved	antineoplastic agent	0.03243479251872353
FGFR2	OLVEREMBATINIB	Not Approved	""	0.2000145538654618
FGFR2	APRUTUMAB IXADOTIN	Not Approved	""	0.1125081865493222
FGFR2	FGFR INHIBITOR DEBIO 1347	Not Approved	""	0.2000145538654618
FGFR2	PEMIGATINIB	Approved	""	1.900138261721887
FGFR2	TRAFERMIN	Not Approved	for treatment of diabetic foot ulcers,for treatment of periodontitis	0.450032746197289
FGFR2	PRN1371	Not Approved	""	0.1714410461703958
FGFR2	ALOFANIB	Not Approved	""	0.6000436615963854
FGFR2	LY2874455	Not Approved	""	0.08572052308519792
FGFR2	NINTEDANIB ESYLATE	Approved	antineoplastic agent	0.1440104787831324
FGFR2	TRABECTEDIN	Approved	""	0.2400174646385541
FGFR2	LEUCOVORIN CALCIUM	Approved	adjuvant to chemotherapy	0.03333575897757696
FGFR2	S-49076	Not Approved	""	0.6000436615963854
FGFR2	BRIVANIB ALANINATE	Not Approved	""	0.08572052308519792
FGFR2	CP-459632	Not Approved	""	0.07500545769954818
FGFR2	ZOTATIFIN	Not Approved	""	0.3000218307981927
FGFR2	SELUMETINIB	Approved	""	0.05454942378148959
