gene	drug	regulatory approval	indication	interaction score
MTOR	RG-7603	Not Approved	""	0.3676323842175037
MTOR	CHEMBL:CHEMBL601364	Not Approved	""	0.02827941417057721
MTOR	PI-103	Not Approved	""	0.01934907285355282
MTOR	IFENPRODIL	Not Approved	""	0.1838161921087518
MTOR	TRIFLUPERIDOL	Not Approved	""	0.1838161921087518
MTOR	BUTACLAMOL	Not Approved	""	0.1838161921087518
MTOR	TERFENADINE	Approved	Anti-Allergic Agents	0.02042402134541687
MTOR	LESTAURTINIB	Not Approved	antineoplastic agent	0.03063603201812531
MTOR	DISULFIRAM	Approved	Alcohol Deterrents	0.00854959033063962
MTOR	CHEMBL:CHEMBL597874	Not Approved	""	0.3676323842175037
MTOR	METFORMIN	Approved	antidiabetic	0.00896664351750009
MTOR	PIMOZIDE	Approved	Antidyskinetics; Antipsychotic Agents	0.01081271718286775
MTOR	AZD8055	Not Approved	""	0.03063603201812531
MTOR	MTORC1/2 KINASE INHIBITOR BI 860585	Not Approved	""	0.3676323842175037
MTOR	MAPROTILINE	Approved	Second-Generation,Antidepressive Agents	0.02827941417057721
MTOR	ROTENONE	Not Approved	""	0.05251891203107196
MTOR	CHEMBL:CHEMBL429095	Not Approved	""	0.007352647684350073
MTOR	PANULISIB	Not Approved	""	0.02297702401359398
MTOR	CHEMBL:CHEMBL528712	Not Approved	""	0.1225441280725012
MTOR	LOPERAMIDE	Approved	Antidiarrheals	0.03063603201812531
MTOR	MIFEPRISTONE	Approved	antidepressant,antipsychotic,for lowering intraocular pressure,opthalmological agent	0.01312972800776799
MTOR	CHEMBL:CHEMBL582278	Not Approved	""	0.3676323842175037
MTOR	YUANHUADINE	Not Approved	""	0.1470529536870014
MTOR	BGT-226	Not Approved	""	0.03342112583795489
MTOR	AMSACRINE	Approved	""	0.02450882561450025
MTOR	1,10-PHENANTHROLINE	Not Approved	""	0.01750630401035732
MTOR	VOXTALISIB	Not Approved	""	0.06893107204078194
MTOR	PWT-33587	Not Approved	""	0.04084804269083374
MTOR	N-OLEOYLDOPAMINE	Not Approved	""	0.02042402134541687
MTOR	ISTIRATUMAB	Not Approved	""	0.1225441280725012
MTOR	BIMIRALISIB	Not Approved	""	0.1225441280725012
MTOR	ZOLANTIDINE	Not Approved	""	0.1225441280725012
MTOR	PAZOPANIB	Approved	antineoplastic agent	0.006449690951184276
MTOR	SALIRASIB	Not Approved	""	0.03342112583795489
MTOR	PAROXETINE HYDROCHLORIDE, HEMIHYDRATE	Approved	antidepressant	0.01470529536870014
MTOR	EBASTINE	Approved	""	0.1225441280725012
MTOR	DACTOLISIB	Not Approved	""	0.05361305603171929
MTOR	GR 127935	Not Approved	""	0.01267697876612081
MTOR	CAPIVASERTIB	Approved	""	0.03676323842175037
MTOR	5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE	Not Approved	""	0.07352647684350073
MTOR	QUINACRINE	Not Approved	""	0.03676323842175037
MTOR	PF-04691502	Not Approved	""	0.02162543436573551
MTOR	PIMECROLIMUS	Approved	antiinflammatory agent	0.1225441280725012
MTOR	DS-7423	Not Approved	""	0.0490176512290005
MTOR	ONATASERTIB	Not Approved	""	0.3676323842175037
MTOR	EPINEPHRINE	Approved	anestethic	0.009190809605437592
MTOR	PALOMID 529	Not Approved	for treatment of age-related macular degeneration	0.3676323842175037
MTOR	CHEMBL:CHEMBL578420	Not Approved	""	0.3676323842175037
MTOR	HALOPERIDOL DECANOATE	Approved	Antipsychotic Agents	0.004837268213388207
MTOR	TANESPIMYCIN	Not Approved	antineoplastic agent	0.02827941417057721
MTOR	(R,S)-INDATRALINE	Not Approved	""	0.03342112583795489
MTOR	SONOLISIB	Not Approved	""	0.02042402134541687
CDKN2A	RIBOCICLIB	Approved	antineoplastic agent	0.5178948269730707
CDKN2A	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.03389857049278282
CDKN2A	ULIXERTINIB	Not Approved	""	0.3728842754206109
CDKN2A	ALVOCIDIB	Not Approved	antineoplastic agent	0.1775639406764813
CDKN2A	PF-04691502	Not Approved	""	0.3107368961838424
CDKN2A	ILORASERTIB	Not Approved	""	0.0160725980784746
CDKN2A	VEMURAFENIB	Approved	antineoplastic agent	0.2015590677949248
CDKN2A	RONICICLIB	Not Approved	""	0.06658647775368053
CDKN2A	CETUXIMAB	Approved	antineoplastic agent	0.1007795338974624
CDKN2A	SAPANISERTIB	Approved	antineoplastic agent	0.1621235980089612
CDKN2A	TEMOZOLOMIDE	Approved	""	0.1775639406764813
CDKN2A	PF-00477736	Not Approved	""	0.9322106885515273
CDKN2A	HMN-214	Not Approved	""	1.864421377103054
CDKN2A	MILCICLIB	Not Approved	""	0.3389857049278281
CDKN2A	POLO-LIKE KINASE 1 INHIBITOR GSK461364	Not Approved	""	1.864421377103054
CDKN2A	COBIMETINIB	Approved	antineoplastic agent	0.1962548818003215
CDKN2A	GEMCITABINE	Approved	antineoplastic agent	0.04053089950224032
CDKN2A	PANITUMUMAB	Approved	antineoplastic agent	0.09322106885515273
CDKN2A	BUPARLISIB	Not Approved	""	0.1491537101682443
CDKN2A	(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE	Not Approved	""	1.242947584735369
CDKN2A	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.06429039231389842
CDKN2A	CARBOPLATIN	Approved	""	0.04335863667681523
CDKN2A	PALBOCICLIB	Approved	""	1.02360389331148
CDKN2A	EVEROLIMUS	Approved	immunosuppressant	0.1096718457119443
CDKN2A	LETROZOLE	Approved	antineoplastic agent	0.1035789653946141
CDKN2A	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	0.27767977956854
CDKN2A	DABRAFENIB	Approved	antineoplastic agent	0.2762105743856377
CDKN2A	ABEMACICLIB	Approved	""	0.7850195272012861
ERCC1	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.08818209216027963
ERCC1	HERBIMYCIN A	Not Approved	""	1.087579136643448
ERCC1	CISPLATIN	Approved	""	0.3255338912402159
ERCC1	THALIDOMIDE	Approved	antineoplastic agent	0.2351522457607456
ERCC1	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.1000072769327309
ERCC1	PLATINUM COMPOUND	Not Approved	""	0.5437895683217243
ERCC1	FLUOROURACIL	Approved	""	0.07500545769954817
ERCC1	STAUROSPORINE	Not Approved	""	0.2559009733278702
ERCC1	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.03954833224157995
ERCC1	PLATINUM	Not Approved	""	1.740126618629517
ERCC1	GEMCITABINE	Approved	antineoplastic agent	0.04728604941928038
ERCC1	CARBOPLATIN	Approved	""	0.05058507612295109
IGF1	XENTUZUMAB	Not Approved	""	13.05094963972138
IGF1	DUSIGITUMAB	Not Approved	""	13.05094963972138
IGF1	TROFINETIDE	Approved	neuroprotectant	4.350316546573794
IGF1	XENTUZUMAB	Not Approved	""	13.05094963972138
TP53	VEMURAFENIB	Approved	antineoplastic agent	0.009364469963923499
TP53	CHEMBL:CHEMBL602150	Not Approved	""	0.02887378238876412
TP53	CHEMBL:CHEMBL201325	Not Approved	""	0.01154951295550564
TP53	CHK1 INHIBITOR GDC-0575	Not Approved	""	0.2309902591101129
