Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MGMT","O-6-Methylguanine-DNA Methyltransferase","Protein Coding","P16455","62","GC10P135655","48.4142112731934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGMT"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","67","GC07P055019","48.2866363525391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","42.726131439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P134441","39.4312934875488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","38.2750587463379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","27","GC02P233275","28.603889465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","27.1662979125977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","26.3757610321045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","26.0625991821289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","24.7168674468994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","23.4702758789063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","22.8260498046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","22.8011627197266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","22.7946510314941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","22.6882381439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","67","GC08M038400","22.2954616546631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","64","GC03P179148","21.8603286743164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","21.7575263977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M061024","21.451229095459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"IDH2","Isocitrate Dehydrogenase (NADP(+)) 2","Protein Coding","P48735","65","GC15M090083","21.4245700836182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","65","GC02M025228","20.2028636932373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","67","GC07M140803","20.0224132537842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","19.5984916687012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","18.8636951446533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","18.8457851409912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","62","GC14P061695","18.8310298919678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","18.5437908172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"ROS1","ROS Proto-Oncogene 1, Receptor Tyrosine Kinase","Protein Coding","P08922","60","GC06M117287","18.138256072998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1"
"MLH1","MutL Homolog 1","Protein Coding","P40692","61","GC03P036993","18.0597305297852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","17.9602870941162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","44","GC11M108308","17.9265937805176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","61","GC07M005982","17.8117752075195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P059841","17.7588806152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","17.7020778656006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","17.5998268127441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"CCND1","Cyclin D1","Protein Coding","P24385","65","GC11P069641","17.2393016815186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","17.0992698669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","16.9581241607666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","66","GC22M090309","16.824728012085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","16.7489070892334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"PTK2","Protein Tyrosine Kinase 2","Protein Coding","Q05397","61","GC08M140657","16.6887702941895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2"
"CDK6","Cyclin Dependent Kinase 6","Protein Coding","Q00534","64","GC07M092604","16.1707210540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6"
"GLI1","GLI Family Zinc Finger 1","Protein Coding","P08151","60","GC12P087089","16.1206130981445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI1"
"AKT3","AKT Serine/Threonine Kinase 3","Protein Coding","Q9Y243","68","GC01M243488","15.9617319107056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT3"
"H3-3A","H3.3 Histone A","Protein Coding","P84243","56","GC01P226062","15.9416646957397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3A"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","P49841","64","GC03M119821","15.9139890670776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","64","GC05P068215","15.8572216033936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","30","GC11P027466","15.7934045791626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","67","GC04P033759","15.689845085144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"CD274","CD274 Molecule","Protein Coding","Q9NZQ7","58","GC09P005450","15.6780462265015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"KDR","Kinase Insert Domain Receptor","Protein Coding","P35968","67","GC04M055078","15.4856719970703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","P42772","58","GC09M022002","15.3181638717651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"SOX2","SRY-Box Transcription Factor 2","Protein Coding","P48431","58","GC03P181711","15.2996511459351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029467","15.2270126342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"ATRX","ATRX Chromatin Remodeler","Protein Coding","P46100","58","GC0XM077504","15.2206993103027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRX"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","15.1499147415161","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"HOTAIRM1","HOXA Transcript Antisense RNA, Myeloid-Specific 1","RNA Gene","","27","GC07P027095","15.0719127655029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIRM1"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","64","GC01M226360","15.0712947845459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","P25963","63","GC14M035401","15.0617713928223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P199656","15.0375528335571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","P09619","66","GC05M150113","15.0011444091797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"MIR222","MicroRNA 222","RNA Gene","","29","GC0XM045747","14.99866771698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"MIR221","MicroRNA 221","RNA Gene","","29","GC0XM045746","14.9649238586426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P085924","14.7581911087036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"SLX4","SLX4 Structure-Specific Endonuclease Subunit","Protein Coding","Q8IY92","49","GC16M003581","14.6791763305664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLX4"
"KDM1A","Lysine Demethylase 1A","Protein Coding","O60341","61","GC01P023019","14.5737895965576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM1A"
"CCND2","Cyclin D2","Protein Coding","P30279","60","GC12P085668","14.5709295272827","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","P48736","62","GC07P106865","14.4426307678223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"BCL2L1","BCL2 Like 1","Protein Coding","Q07817","62","GC20M031664","14.4313735961914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"RHOA","Ras Homolog Family Member A","Protein Coding","P61586","62","GC03M049359","14.4166231155396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","64","GC11M016453","14.3588752746582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"MIR10B","MicroRNA 10b","RNA Gene","","30","GC02P176150","14.2470684051514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","63","GC20P037344","14.2208127975464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"PROM1","Prominin 1","Protein Coding","O43490","60","GC04M015965","14.1813163757324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROM1"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P020855","14.1785345077515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"MYCN","MYCN Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P04198","58","GC02P016074","14.1436786651611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCN"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","P08069","68","GC15P098648","14.115306854248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"EPHA2","EPH Receptor A2","Protein Coding","P29317","64","GC01M016124","14.0737810134888","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA2"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","14.0719423294067","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"SERPINE2","Serpin Family E Member 2","Protein Coding","P07093","55","GC02M223975","14.0683307647705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE2"
"LZTR1","Leucine Zipper Like Post Translational Regulator 1","Protein Coding","Q8N653","54","GC22P102074","14.0475463867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1"
"PVT1","Pvt1 Oncogene","RNA Gene","","32","GC08P128542","13.8658218383789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"TACC3","Transforming Acidic Coiled-Coil Containing Protein 3","Protein Coding","Q9Y6A5","54","GC04P033757","13.8491153717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACC3"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","60","GC12M102395","13.7394189834595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"MIR34A","MicroRNA 34a","RNA Gene","","30","GC01M009151","13.659930229187","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"APC","APC Regulator Of Wnt Signaling Pathway","Protein Coding","P25054","61","GC05P112707","13.6299905776978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","Q07820","62","GC01M169571","13.600658416748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"CASP8","Caspase 8","Protein Coding","Q14790","64","GC02P201233","13.593602180481","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P135937","13.5895843505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","Q15910","66","GC07M148807","13.5831031799316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","13.5358867645264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","67","GC10M121478","13.46852684021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"MIR155","MicroRNA 155","RNA Gene","","29","GC21P025573","13.4585819244385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"RAC1","Rac Family Small GTPase 1","Protein Coding","P63000","61","GC07P031790","13.4561834335327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1"
"MIR128-1","MicroRNA 128-1","RNA Gene","","27","GC02P135665","13.4555015563965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-1"
"CCND3","Cyclin D3","Protein Coding","P30281","58","GC06M041934","13.4480485916138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND3"
"MIR210","MicroRNA 210","RNA Gene","","30","GC11M016456","13.4020090103149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","13.401309967041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","13.3278675079346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"MIR137","MicroRNA 137","RNA Gene","","27","GC01M098046","13.2917881011963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"LINC-PINT","Long Intergenic Non-Protein Coding RNA, P53 Induced Transcript","RNA Gene","A0A455ZAR2","29","GC07M130795","13.2713413238525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-PINT"
"MIR125B1","MicroRNA 125b-1","RNA Gene","","30","GC11M147109","13.1629428863525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1"
"GLIDR","Glioblastoma Down-Regulated RNA","RNA Gene","","19","GC09M045021","13.1015920639038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLIDR"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","32","GC11P129900","13.0881462097168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"PDPK1","3-Phosphoinositide Dependent Protein Kinase 1","Protein Coding","O15530","62","GC16P002537","13.0083417892456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPK1"
"NES","Nestin","Protein Coding","P48681","52","GC01M156668","12.9965143203735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NES"
"UPF1","UPF1 RNA Helicase And ATPase","Protein Coding","Q92900","54","GC19P018831","12.9695863723755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPF1"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","30","GC12M053962","12.961236000061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","","28","GC22P101987","12.903281211853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR5"
"MIR25","MicroRNA 25","RNA Gene","","29","GC07M100093","12.8399591445923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","12.8396911621094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","61","GC11M016606","12.8328657150269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","67","GC12P087018","12.8015632629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"EP300","EP300 Lysine Acetyltransferase","Protein Coding","Q09472","65","GC22P041091","12.7854137420654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"MIR191","MicroRNA 191","RNA Gene","","30","GC03M055276","12.7748203277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132852","12.772289276123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"MIR23A","MicroRNA 23a","RNA Gene","","30","GC19M115788","12.7329339981079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A"
"MIR133B","MicroRNA 133b","RNA Gene","","31","GC06P052148","12.7298545837402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR133B"
"MIR149","MicroRNA 149","RNA Gene","","31","GC02P240456","12.7078256607056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR149"
"SETD2","SET Domain Containing 2, Histone Lysine Methyltransferase","Protein Coding","Q9BYW2","59","GC03M047033","12.6820650100708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2"
"DLEU1","Deleted In Lymphocytic Leukemia 1","RNA Gene","O43261","38","GC13P053133","12.6625862121582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU1"
"SNHG1","Small Nucleolar RNA Host Gene 1","RNA Gene","","28","GC11M146074","12.6598024368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG1"
"MIR130A","MicroRNA 130a","RNA Gene","","30","GC11P057641","12.659200668335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130A"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","12.6425352096558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"AGAP2-AS1","AGAP2 Antisense RNA 1","RNA Gene","","23","GC12P057726","12.6362342834473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGAP2-AS1"
"PIK3CD","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta","Protein Coding","O00329","66","GC01P091801","12.6121444702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD"
"MIR451A","MicroRNA 451a","RNA Gene","","25","GC17M028861","12.5726270675659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"CYTOR","Cytoskeleton Regulator RNA","RNA Gene","","30","GC02P102080","12.5270042419434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTOR"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","33","GC11P129888","12.5221014022827","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"NF2","NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor","Protein Coding","P35240","61","GC22P029603","12.5020608901978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
"HOXB13","Homeobox B13","Protein Coding","Q92826","54","GC17M105076","12.5003662109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13"
"SEMA3B","Semaphorin 3B","Protein Coding","Q13214","51","GC03P069290","12.4925928115845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3B"
"SOX2-OT","SOX2 Overlapping Transcript","RNA Gene","","31","GC03P180989","12.4901819229126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2-OT"
"MIR125B2","MicroRNA 125b-2","RNA Gene","","30","GC21P016590","12.4777164459229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B2"
"MIR185","MicroRNA 185","RNA Gene","","31","GC22P102017","12.4616270065308","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR185"
"DLGAP1-AS1","DLGAP1 Antisense RNA 1","RNA Gene","","25","GC18P003792","12.460597038269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP1-AS1"
"PDCD1","Programmed Cell Death 1","Protein Coding","Q15116","60","GC02M241849","12.4519634246826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"CASP5","Caspase 5","Protein Coding","P51878","57","GC11M146826","12.4135141372681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP5"
"MIR4435-2HG","MIR4435-2 Host Gene","RNA Gene","","26","GC02M114542","12.3522758483887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4435-2HG"
"MIR197","MicroRNA 197","RNA Gene","","29","GC01P109598","12.339207649231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"MIR181C","MicroRNA 181c","RNA Gene","","29","GC19P171108","12.3283939361572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"HNF1A-AS1","HNF1A Antisense RNA 1","RNA Gene","","29","GC12M125301","12.3020639419556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A-AS1"
"PIK3CB","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta","Protein Coding","P42338","61","GC03M138652","12.2901134490967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB"
"OLIG2","Oligodendrocyte Transcription Factor 2","Protein Coding","Q13516","54","GC21P033025","12.2805280685425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLIG2"
"FEZF1-AS1","FEZF1 Antisense RNA 1","RNA Gene","","25","GC07P122303","12.2613649368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FEZF1-AS1"
"MATN1-AS1","MATN1 Antisense RNA 1","RNA Gene","","20","GC01P030718","12.2300615310669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MATN1-AS1"
"CHI3L1","Chitinase 3 Like 1","Protein Coding","P36222","58","GC01M203179","12.225679397583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1"
"HGF","Hepatocyte Growth Factor","Protein Coding","P14210","64","GC07M081699","12.1991271972656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"MIR9-2","MicroRNA 9-2","RNA Gene","","27","GC05M088666","12.1894760131836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-2"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","64","GC13M028300","12.1839237213135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"SAMMSON","Survival Associated Mitochondrial Melanoma Specific Oncogenic Non-Coding RNA","RNA Gene","","25","GC03P070008","12.181583404541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMMSON"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","63","GC01M058780","12.1634693145752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"MIR181A2","MicroRNA 181a-2","RNA Gene","","29","GC09P124692","12.1613359451294","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A2"
"LINC01446","Long Intergenic Non-Protein Coding RNA 1446","RNA Gene","","21","GC07M053655","12.1297101974487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01446"
"LINC00632","Long Intergenic Non-Protein Coding RNA 632","RNA Gene","","26","GC0XP140709","12.12766456604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00632"
"MIR486-1","MicroRNA 486-1","RNA Gene","","28","GC08M041660","12.126651763916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR486-1"
"HOXD-AS2","HOXD Cluster Antisense RNA 2","RNA Gene","","25","GC02M176121","12.0951557159424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXD-AS2"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","25","GC18M057054","12.082573890686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"TRG-AS1","T Cell Receptor Gamma Locus Antisense RNA 1","RNA Gene","","22","GC07P038308","12.0802335739136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRG-AS1"
"MIR328","MicroRNA 328","RNA Gene","","29","GC16M076489","12.0674915313721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR328"
